,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
10001,20140620,GAS NATURAL INC,EGAS,108236.16,10.0,9.0,1.0,,5.0,1,1.0,1.0,2.0,4.0,3.0,3.0,2.0,10.0,5.0,7.0,1.0,1.0,7.0,9.0,9.0,8.0,4.0,3.0,7.0,2.0,8.0,,7.0,10.0,9.0,7.0,8.0,4.0,8.0,8.0,8.0,1.0,,3.0,10.0,,8.0,5.0,10.0,6.0,8.0,,,1.0,2.0,4,5.0,10,1
10025,20140620,A E P INDUSTRIES INC,AEPI,200445.45,9.0,2.0,9.0,2.0,6.0,10,1.0,1.0,3.0,10.0,6.0,10.0,2.0,,7.0,8.0,4.0,2.0,5.0,1.0,2.0,5.0,7.0,9.0,9.0,4.0,,,1.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,8.0,10.0,,1.0,1.0,1.0,10.0,3.0,7.0,9.0,9.0,,,9.0,5.0,4,7.0,10,1
10026,20140620,J & J SNACK FOODS CORP,JJSF,1756210.91,7.0,4.0,8.0,4.0,8.0,10,10.0,10.0,8.0,6.0,4.0,8.0,6.0,2.0,4.0,3.0,6.0,3.0,3.0,2.0,3.0,2.0,9.0,6.0,4.0,6.0,7.0,,7.0,9.0,6.0,8.0,8.0,7.0,3.0,5.0,4.0,7.0,,6.0,4.0,9.0,6.0,7.0,9.0,6.0,8.0,10.0,10.0,4.0,9.0,4,9.0,10,1
10028,20140620,D G S E COMPANIES INC,DGSE,20258.64,10.0,1.0,10.0,,8.0,1,1.0,1.0,,,,10.0,2.0,,2.0,,,,5.0,,,1.0,1.0,1.0,8.0,,,,,1.0,,,9.0,1.0,10.0,,7.0,6.0,,2.0,2.0,,10.0,1.0,10.0,,10.0,,,,1.0,4,10.0,10,1
10032,20140620,PLEXUS CORP,PLXS,1465344.0,8.0,7.0,3.0,7.0,4.0,1,1.0,1.0,9.0,6.0,4.0,9.0,1.0,,7.0,7.0,8.0,7.0,4.0,9.0,6.0,6.0,6.0,6.0,9.0,7.0,,,7.0,10.0,8.0,6.0,7.0,9.0,9.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,3.0,4.0,9.0,10.0,10.0,9.0,6.0,4,8.0,10,1
10044,20140620,ROCKY MOUNTAIN CHOCOLATE FAC INC,RMCF,77512.5,10.0,3.0,8.0,3.0,7.0,1,10.0,1.0,4.0,7.0,3.0,8.0,5.0,9.0,6.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,10.0,9.0,3.0,4.0,3.0,,3.0,9.0,2.0,4.0,10.0,2.0,6.0,6.0,3.0,7.0,,,,,8.0,6.0,10.0,6.0,9.0,10.0,10.0,6.0,2.0,4,10.0,10,1
10051,20140620,HANGER INC,HGR,1138756.08,7.0,6.0,2.0,6.0,2.0,10,10.0,10.0,3.0,3.0,4.0,5.0,2.0,,7.0,6.0,2.0,5.0,3.0,5.0,4.0,5.0,7.0,6.0,6.0,5.0,,,3.0,7.0,3.0,1.0,2.0,4.0,5.0,5.0,7.0,3.0,,2.0,2.0,2.0,10.0,4.0,8.0,9.0,10.0,,,2.0,5.0,4,5.0,10,1
10104,20140620,ORACLE CORP,ORCL,182011726.52,1.0,2.0,7.0,2.0,4.0,10,1.0,10.0,10.0,7.0,5.0,3.0,10.0,2.0,6.0,4.0,9.0,9.0,5.0,3.0,5.0,1.0,10.0,9.0,1.0,4.0,5.0,4.0,9.0,5.0,6.0,8.0,9.0,7.0,8.0,7.0,2.0,9.0,5.0,9.0,8.0,10.0,4.0,8.0,7.0,8.0,5.0,5.0,4.0,8.0,6.0,4,9.0,1,1
10107,20140620,MICROSOFT CORP,MSFT,344293972.16,1.0,2.0,9.0,2.0,7.0,1,10.0,10.0,7.0,9.0,3.0,4.0,10.0,7.0,8.0,5.0,10.0,8.0,3.0,7.0,5.0,2.0,10.0,9.0,2.0,5.0,8.0,10.0,8.0,5.0,5.0,8.0,9.0,6.0,6.0,6.0,3.0,8.0,4.0,10.0,9.0,10.0,5.0,8.0,9.0,9.0,5.0,6.0,5.0,10.0,6.0,4,9.0,10,1
10116,20140620,ACURA PHARMACEUTICALS INC,ACUR,52267.36,10.0,2.0,,3.0,,1,10.0,1.0,3.0,9.0,10.0,,,,1.0,,10.0,8.0,7.0,6.0,10.0,1.0,1.0,1.0,1.0,7.0,,,,7.0,,,10.0,1.0,1.0,10.0,7.0,2.0,,2.0,1.0,,10.0,1.0,5.0,1.0,10.0,,,2.0,1.0,4,7.0,10,1
10138,20140620,T ROWE PRICE GROUP INC,TROW,21869978.16,2.0,,,,,10,10.0,10.0,2.0,,,,,6.0,5.0,2.0,,,,,,1.0,10.0,9.0,1.0,8.0,7.0,,6.0,2.0,,,9.0,4.0,6.0,5.0,,3.0,10.0,10.0,8.0,10.0,7.0,10.0,4.0,6.0,6.0,6.0,3.0,7.0,9.0,4,8.0,10,1
10145,20140620,HONEYWELL INTERNATIONAL INC,HON,74255438.4,1.0,2.0,5.0,2.0,1.0,10,1.0,10.0,4.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,9.0,8.0,6.0,6.0,6.0,3.0,8.0,9.0,5.0,4.0,7.0,5.0,6.0,7.0,3.0,3.0,10.0,6.0,5.0,3.0,3.0,7.0,6.0,9.0,7.0,9.0,6.0,10.0,6.0,4.0,7.0,8.0,8.0,4.0,9.0,1,9.0,10,1
10147,20140620,E M C CORP MA,EMC,53925882.0,1.0,4.0,8.0,4.0,7.0,10,1.0,10.0,6.0,8.0,3.0,3.0,10.0,,5.0,4.0,7.0,6.0,3.0,7.0,4.0,2.0,8.0,6.0,2.0,5.0,,7.0,6.0,10.0,5.0,7.0,7.0,3.0,10.0,5.0,6.0,9.0,2.0,5.0,4.0,5.0,4.0,9.0,7.0,9.0,6.0,6.0,9.0,6.0,4.0,4,4.0,10,1
10158,20140620,AMERESCO INC,AMRC,198647.62,10.0,9.0,4.0,9.0,8.0,10,1.0,1.0,2.0,10.0,6.0,6.0,3.0,,7.0,8.0,6.0,4.0,4.0,7.0,10.0,8.0,5.0,4.0,9.0,7.0,,,1.0,3.0,4.0,2.0,4.0,1.0,10.0,,10.0,3.0,,2.0,1.0,,5.0,1.0,5.0,,4.0,,,,1.0,9,5.0,10,1
10180,20140620,AKORN INC,AKRX,3093757.94,7.0,1.0,8.0,1.0,3.0,1,10.0,1.0,4.0,1.0,2.0,4.0,9.0,,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,9.0,8.0,1.0,1.0,,,9.0,7.0,5.0,7.0,2.0,10.0,4.0,1.0,1.0,1.0,,3.0,3.0,,1.0,3.0,7.0,10.0,1.0,,,5.0,4.0,4,4.0,10,1
10182,20140620,TECH DATA CORP,TECD,2325361.07,6.0,9.0,5.0,9.0,9.0,10,10.0,10.0,9.0,9.0,10.0,10.0,1.0,,10.0,8.0,10.0,10.0,7.0,10.0,4.0,9.0,5.0,6.0,10.0,5.0,,10.0,9.0,6.0,10.0,10.0,5.0,7.0,8.0,8.0,9.0,5.0,,4.0,4.0,3.0,9.0,6.0,7.0,4.0,9.0,10.0,9.0,10.0,8.0,4,4.0,10,1
10200,20140620,REPLIGEN CORP,RGEN,704239.2,10.0,4.0,8.0,4.0,7.0,10,10.0,1.0,2.0,5.0,2.0,4.0,9.0,,8.0,5.0,6.0,9.0,8.0,1.0,1.0,1.0,10.0,8.0,2.0,9.0,,,10.0,7.0,8.0,10.0,1.0,10.0,1.0,5.0,1.0,3.0,,3.0,5.0,,1.0,1.0,10.0,10.0,1.0,,,9.0,3.0,4,1.0,10,1
10220,20140620,BABCOCK & WILCOX CO NEW,BWC,3564443.52,5.0,3.0,6.0,3.0,3.0,10,10.0,10.0,10.0,1.0,7.0,7.0,4.0,,8.0,5.0,10.0,6.0,5.0,3.0,3.0,3.0,8.0,9.0,6.0,2.0,,,6.0,8.0,4.0,4.0,7.0,6.0,8.0,,4.0,8.0,4.0,8.0,6.0,7.0,9.0,5.0,7.0,,9.0,,,,5.0,9,4.0,10,1
10232,20140620,ELMIRA SAVINGS BANK NY,ESBK,63534.51,10.0,,,,,1,10.0,1.0,2.0,,,,,8.0,9.0,,,,,,,10.0,3.0,7.0,3.0,,4.0,,8.0,2.0,,,10.0,5.0,6.0,5.0,,3.0,2.0,6.0,9.0,3.0,9.0,3.0,10.0,10.0,9.0,,,9.0,3.0,4,10.0,10,1
10239,20140620,BALDWIN & LYONS INC,BWINB,325280.82,9.0,,,,,10,10.0,1.0,5.0,,,,,9.0,9.0,6.0,,,,,,8.0,5.0,5.0,4.0,6.0,1.0,,3.0,5.0,,,8.0,5.0,9.0,8.0,,5.0,,5.0,9.0,4.0,7.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,5.0,4,10.0,10,1
